"tipo","tipo_id","sitio_id","sitio_nm"
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0987df61-7f00-0010-3efb-0000b7b87e4a",RUTA MUELLE MUNICIPAL
INFRAESTRUCTURA,"03f749f8-7f00-0010-7080-0000885b735f",ced31aa6-f7e7-4262-a13e-99e34a2d1a99,CENTRO DE CRIANZA FAUSTO LLERENA
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0990a752-7f00-0010-3efb-0000ca7b5ad6",RUTA TORTUGA BAY
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0990a752-7f00-0010-3efb-0000ca7b5ad6",RUTA TORTUGA BAY
INFRAESTRUCTURA,"03f749f8-7f00-0010-7080-0000885b735f",e8502c0e-38ea-4a07-8e8b-57e3915b1ee6,CENTRO DE CRIANZA DE TORTUGAS TERRESTRES DAVID RODRÍGUEZ
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","09927eda-7f00-0010-3efb-00001ba27734",RUTA PLAYA EL GARRAPATERO
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","09927eda-7f00-0010-3efb-00001ba27734",RUTA PLAYA EL GARRAPATERO
SENDERO,"0f47d5e7-7f00-0010-7080-0000ca53b0e4","350d3377-8016-4c0d-a535-dab86347a36f",CERRO ALLIERI
ENSENADA,"006f72fb-f81a-47ff-8ce9-3e7c370c2011","0994fa52-7f00-0010-3efb-000060f0529a",RUTA CANAL DE ITABACA-ZONA ESTE
PLAYA,"4eac8ea5-f80f-4f36-b0c2-fe5b1c63bf36","0994fa52-7f00-0010-3efb-000060f0529a",RUTA CANAL DE ITABACA-ZONA ESTE
BAHÍA,"810df77e-a8d8-4ca0-abb3-78d1eb10f828","0994fa52-7f00-0010-3efb-000060f0529a",RUTA CANAL DE ITABACA-ZONA ESTE
CERRO,"5a7d93e3-34e5-4c8f-acef-2c012c2315c2","01133432-7f00-0010-1180-000073f7e95a",CERRO DRAGÓN
ROCA,"820d7f0c-cf83-4f38-af12-cf877f168e3a","2f8163b8-03f8-4704-954e-f85f5bf21fba",CORONA DEL DIABLO
